#Peter Bird 2002 An updated digital model of plate boundaries, Geochemistry Geophysics Geosystems
+6.50282E+01  +2.43824E+01
+6.54921E+01  +2.46201E+01
+6.59578E+01  +2.48564E+01
+6.65296E+01  +2.51787E+01
+6.71044E+01  +2.54987E+01
+6.72681E+01  +2.59839E+01
+6.72526E+01  +2.65184E+01
+6.72478E+01  +2.70854E+01
+6.73322E+01  +2.79115E+01
+6.73421E+01  +2.84041E+01
+6.72397E+01  +2.85731E+01
+6.72767E+01  +2.93768E+01
+6.73011E+01  +2.97948E+01
+6.78492E+01  +3.00735E+01
+6.83105E+01  +2.98780E+01
+6.86795E+01  +2.92090E+01
+6.90855E+01  +2.90959E+01
+6.98806E+01  +2.92618E+01
+7.00995E+01  +2.98402E+01
+7.01783E+01  +3.04230E+01
+7.02580E+01  +3.10057E+01
+7.01010E+01  +3.14594E+01
+6.99425E+01  +3.19130E+01
+7.04394E+01  +3.24310E+01
+7.09421E+01  +3.29471E+01
+7.13920E+01  +3.34768E+01
+7.18474E+01  +3.40048E+01
+7.24591E+01  +3.46822E+01
>
+7.24591E+01  +3.46822E+01
+7.30296E+01  +3.41759E+01
+7.35933E+01  +3.36669E+01
+7.43142E+01  +3.31594E+01
+7.50894E+01  +3.28806E+01
+7.56749E+01  +3.21894E+01
+7.57220E+01  +3.16333E+01
+7.65210E+01  +3.11537E+01
+7.70067E+01  +3.07376E+01
+7.76407E+01  +3.05580E+01
+7.80762E+01  +3.02261E+01
+7.84224E+01  +2.98869E+01
+7.89118E+01  +2.96776E+01
+7.91969E+01  +2.93934E+01
+7.97898E+01  +2.91428E+01
+8.02265E+01  +2.90930E+01
+8.05465E+01  +2.89750E+01
+8.10430E+01  +2.87902E+01
+8.13610E+01  +2.84135E+01
+8.22004E+01  +2.81669E+01
+8.29354E+01  +2.78815E+01
+8.36667E+01  +2.75929E+01
+8.41585E+01  +2.74519E+01
+8.46491E+01  +2.73091E+01
+8.56219E+01  +2.71704E+01
+8.62515E+01  +2.70946E+01
+8.64809E+01  +2.67372E+01
+8.68204E+01  +2.66683E+01
+8.72186E+01  +2.70220E+01
+8.77450E+01  +2.69089E+01
+8.83200E+01  +2.68850E+01
+8.92821E+01  +2.70268E+01
+8.97724E+01  +2.68472E+01
+9.03294E+01  +2.69370E+01
+9.12580E+01  +2.70075E+01
+9.17812E+01  +2.70329E+01
+9.23047E+01  +2.70564E+01
+9.32334E+01  +2.71165E+01
+9.35704E+01  +2.71098E+01
+9.41890E+01  +2.75008E+01
+9.48287E+01  +2.79182E+01
+9.54657E+01  +2.81832E+01
+9.62345E+01  +2.81349E+01
+9.67916E+01  +2.81099E+01
+9.73484E+01  +2.80826E+01
>
+9.64061E+01  +1.51355E+01
+9.64193E+01  +1.53962E+01
+9.64472E+01  +1.60034E+01
+9.64697E+01  +1.66438E+01
+9.64661E+01  +1.74351E+01
+9.64207E+01  +1.79816E+01
+9.63414E+01  +1.87048E+01
+9.62254E+01  +1.94119E+01
+9.60158E+01  +2.00399E+01
+9.59427E+01  +2.09001E+01
+9.59183E+01  +2.16810E+01
+9.59181E+01  +2.23522E+01
+9.59093E+01  +2.30150E+01
+9.59691E+01  +2.37605E+01
+9.61173E+01  +2.44801E+01
+9.63104E+01  +2.51336E+01
+9.65813E+01  +2.56469E+01
+9.69056E+01  +2.62874E+01
+9.71304E+01  +2.68202E+01
+9.73465E+01  +2.72411E+01
+9.74711E+01  +2.77024E+01
+9.73484E+01  +2.80826E+01
>
